"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2017. év)"

" ";"Mutatók";
"Terület";"A település területe (km2)";"Lakónépesség száma az év közepén (a népszámlálás végleges adataiból továbbszámított adat) (fõ)";"Lakónépességbõl a 15-64 évesek száma az év végén (fõ)";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Közép-Magyarország";"6916,32";"3005837,0";"1999907,0";"37406";"19621";"13143";"7492";
"Budapest (Budapest)";"525,14";"1751219,0";"1161897,0";"16955";"8300";"5631";"2532";
"Budapest";"525,14";"1751219,0";"1161897,0";"16955";"8300";"5631";"2532";
"Budapest, illetve fiktív területi egység";"525,14";"1751219,0";"1161897,0";"16955";"8300";"5631";"2532";
"Budapest";"525,14";"1751219,0";"1161897,0";"16955";"8300";"5631";"2532";
"Pest (Pest)";"6391,18";"1254618,0";"838010,0";"20451";"11321";"7512";"4960";
"Pest megye";"6391,18";"1254618,0";"838010,0";"20451";"11321";"7512";"4960";
"Aszódi járás";"298,39";"36838,5";"24928,0";"827";"491";"310";"231";
"Aszód";"16,20";"6156,5";"4187,0";"71";"36";"24";"27";
"Bag";"23,55";"3686,0";"2401,0";"97";"57";"37";"30";
"Domony";"21,80";"2109,0";"1428,0";"45";"19";"16";"18";
"Galgahévíz";"31,18";"2513,5";"1685,0";"81";"50";"30";"20";
"Galgamácsa";"43,31";"1780,0";"1250,0";"30";"18";"9";"12";
"Hévízgyörk";"22,85";"3033,5";"2041,0";"45";"23";"10";"17";
"Iklad";"11,21";"1998,0";"1292,0";"29";"19";"11";"4";
"Kartal";"29,13";"5652,5";"3921,0";"92";"47";"28";"28";
"Tura";"55,92";"7743,0";"5196,0";"259";"169";"114";"55";
"Vácegres";"13,67";"848,0";"623,0";"51";"39";"22";"10";
"Verseg";"29,57";"1318,5";"904,0";"27";"14";"9";"10";
"Budakeszi járás";"288,94";"89850,0";"58602,0";"1044";"563";"387";"120";
"Biatorbágy";"44,12";"13330,0";"8795,0";"143";"72";"44";"13";
"Budajenõ";"12,42";"1916,0";"1264,0";"23";"15";"9";"1";
"Budakeszi";"37,10";"14256,0";"8985,0";"148";"71";"48";"20";
"Budaörs";"23,59";"28760,5";"18688,0";"395";"228";"167";"11";
"Herceghalom";"7,34";"2646,5";"1815,0";"21";"8";"3";" ";
"Nagykovácsi";"27,67";"7743,0";"5041,0";"58";"32";"16";"6";
"Páty";"39,30";"7422,0";"4888,0";"64";"34";"27";"12";
"Perbál";"25,65";"2042,5";"1385,0";"34";"21";"13";"9";
"Remeteszõlõs";"2,89";"891,0";"611,0";"6";"3";"3";"1";
"Telki";"10,47";"3989,0";"2552,0";"32";"16";"11";"2";
"Tök";"24,73";"1329,5";"886,0";"27";"13";"9";"5";
"Zsámbék";"33,66";"5524,0";"3692,0";"93";"50";"37";"40";
"Ceglédi járás";"886,35";"87515,0";"57813,0";"2509";"1566";"1079";"704";
"Abony";"127,97";"14433,5";"9368,0";"477";"308";"219";"121";
"Albertirsa";"73,00";"12462,5";"8370,0";"286";"179";"134";"45";
"Cegléd";"244,87";"35530,0";"23221,0";"1053";"672";"471";"196";
"Ceglédbercel";"28,15";"4275,5";"2830,0";"74";"44";"28";"41";
"Csemõ";"79,44";"4205,0";"2920,0";"170";"96";"68";"54";
"Dánszentmiklós";"38,00";"2843,0";"2007,0";"58";"38";"28";"16";
"Jászkarajenõ";"65,15";"2611,0";"1696,0";"98";"63";"38";"53";
"Kõröstetétlen";"32,65";"826,0";"563,0";"8";"2";"1";"9";
"Mikebuda";"42,17";"674,0";"482,0";"21";"10";"7";"7";
"Tápiószõlõs";"31,81";"2800,0";"1886,0";"58";"30";"17";"48";
