"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2018. év)"

" ";"Mutatók";
"Terület";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Közép-Magyarország";"33164";"16159";"10876";"4518";
"Budapest (Budapest)";"14562";"6255";"4132";"1294";
"Budapest";"14562";"6255";"4132";"1294";
"Budapest, illetve fiktív területi egység";"14562";"6255";"4132";"1294";
"Budapest";"14562";"6255";"4132";"1294";
"Pest (Pest)";"18602";"9904";"6744";"3224";
"Pest megye";"18602";"9904";"6744";"3224";
"Aszódi járás";"758";"453";"299";"207";
"Aszód";"68";"34";"19";"17";
"Bag";"78";"44";"33";"35";
"Domony";"48";"31";"19";"19";
"Galgahévíz";"74";"53";"33";"14";
"Galgamácsa";"27";"13";"7";"10";
"Hévízgyörk";"47";"10";"7";"17";
"Iklad";"27";"15";"8";"4";
"Kartal";"96";"52";"29";"23";
"Tura";"229";"166";"123";"47";
"Vácegres";"37";"22";"14";"12";
"Verseg";"27";"13";"7";"9";
"Budakeszi járás";"922";"483";"334";"70";
"Biatorbágy";"134";"47";"29";"6";
"Budajenõ";"21";"11";"7";" ";
"Budakeszi";"133";"68";"43";"6";
"Budaörs";"346";"204";"148";"7";
"Herceghalom";"14";"5";"3";" ";
"Nagykovácsi";"50";"27";"18";"4";
"Páty";"57";"27";"17";"12";
"Perbál";"31";"16";"13";"4";
"Remeteszõlõs";"5";"2";"2";" ";
"Telki";"32";"17";"11";"1";
"Tök";"22";"16";"9";"4";
"Zsámbék";"77";"43";"34";"26";
"Ceglédi járás";"2224";"1300";"951";"532";
"Abony";"415";"268";"202";"107";
"Albertirsa";"251";"152";"117";"34";
"Cegléd";"886";"517";"396";"126";
"Ceglédbercel";"56";"25";"17";"34";
"Csemõ";"163";"103";"66";"46";
"Dánszentmiklós";"56";"29";"25";"10";
"Jászkarajenõ";"91";"47";"27";"38";
"Kõröstetétlen";"11";"4";"1";"9";
"Mikebuda";"21";"13";"9";"6";
"Tápiószõlõs";"68";"31";"21";"34";
"Törtel";"132";"77";"50";"49";
"Újszilvás";"74";"34";"20";"39";
"Dabasi járás";"1135";"535";"336";"267";
"Bugyi";"96";"40";"23";"18";
"Dabas";"329";"147";"88";"102";
"Hernád";"67";"27";"17";"12";
"Inárcs";"100";"48";"37";"20";
"Kakucs";"69";"37";"28";"8";
"Örkény";"205";"102";"60";"51";
"Pusztavacs";"34";"19";"9";"9";
"Táborfalva";"112";"52";"32";"9";
"Tatárszentgyörgy";"80";"48";"31";"33";
"Újhartyán";"31";"11";"9";"3";
"Újlengyel";"12";"4";"2";"2";
"Dunakeszi járás";"752";"373";"265";"63";
"Csomád";"8";"4";"4";" ";
"Dunakeszi";"347";"156";"111";"20";
"Fót";"182";"95";"69";"13";
"Göd";"215";"118";"81";"30";
"Érdi járás";"885";"384";"246";"52";
"Diósd";"50";"18";"12";" ";
"Érd";"501";"217";"151";"31";
"Pusztazámor";"10";"5";"2";"1";
"Sóskút";"35";"17";"11";"5";
"Százhalombatta";"131";"62";"34";"9";
"Tárnok";"88";"40";"22";"3";
"Törökbálint";"70";"25";"14";"3";
"Gödöllõi járás";"2021";"1148";"780";"208";
"Csömör";"71";"43";"31";"4";
"Dány";"129";"88";"58";"36";
"Erdõkertes";"146";"78";"48";"6";
"Gödöllõ";"505";"293";"201";"15";
"Isaszeg";"165";"92";"62";"25";
"Kerepes";"122";"70";"47";"6";
"Kistarcsa";"116";"63";"48";"6";
"Mogyoród";"97";"58";"43";"3";
"Nagytarcsa";"40";"17";"13";"3";
"Pécel";"158";"89";"58";"18";
"Szada";"59";"29";"15";"10";
"Vácszentlászló";"45";"22";"15";"16";
"Valkó";"106";"62";"41";"28";
"Veresegyház";"182";"93";"68";"15";
"Zsámbok";"80";"51";"32";"17";
"Gyáli járás";"627";"319";"225";"60";
"Alsónémedi";"67";"30";"24";"2";
"Felsõpakony";"45";"20";"14";"11";
"Gyál";"289";"148";"103";"27";
"Ócsa";"226";"121";"84";"20";
"Monori járás";"1141";"571";"372";"249";
"Bénye";"9";"3";"3";"2";
"Csévharaszt";"31";"12";"5";"8";
"Gomba";"59";"33";"22";"12";
"Gyömrõ";"223";"97";"71";"23";
"Káva";"13";"9";"6";"3";
"Monor";"306";"155";"104";"89";
"Monorierdõ";"72";"41";"27";"17";
