"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2020. év)"

" ";"Mutatók";
"Terület";"A település területe (km2)";"Lakónépesség száma az év közepén (a népszámlálás végleges adataiból továbbszámított adat) (fõ)";"Lakónépességbõl a 15-64 évesek száma az év végén (fõ)";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Közép-Magyarország";"6917,11";"3040478,0";"1983938,0";"50821";"22951";"11099";"2924";
"Budapest (Budapest)";"525,14";"1737026,0";"1128144,0";"26963";"10874";"4449";"811";
"Budapest";"525,14";"1737026,0";"1128144,0";"26963";"10874";"4449";"811";
"Budapest, illetve fiktív területi egység";"525,14";"1737026,0";"1128144,0";"26963";"10874";"4449";"811";
"Budapest";"525,14";"1737026,0";"1128144,0";"26963";"10874";"4449";"811";
"Pest (Pest)";"6391,97";"1303452,0";"855794,0";"23858";"12077";"6650";"2113";
"Pest megye";"6391,97";"1303452,0";"855794,0";"23858";"12077";"6650";"2113";
"Aszódi járás";"298,39";"37498,5";"25020,0";"974";"555";"294";"130";
"Aszód";"16,20";"6213,5";"4092,0";"114";"52";"18";"13";
"Bag";"23,55";"3786,5";"2506,0";"105";"65";"35";"22";
"Domony";"21,80";"2215,5";"1497,0";"65";"37";"16";"10";
"Galgahévíz";"31,18";"2534,5";"1690,0";"78";"48";"31";"10";
"Galgamácsa";"43,31";"1822,5";"1254,0";"47";"27";"10";"4";
"Hévízgyörk";"22,85";"3196,5";"2119,0";"52";"28";"11";"14";
"Iklad";"11,21";"2014,0";"1286,0";"30";"11";"3";"3";
"Kartal";"29,13";"5804,0";"3915,0";"135";"70";"31";"15";
"Tura";"55,92";"7710,0";"5128,0";"269";"162";"114";"25";
"Vácegres";"13,67";"909,5";"655,0";"38";"24";"12";"10";
"Verseg";"29,57";"1292,0";"878,0";"41";"31";"13";"4";
"Budakeszi járás";"288,94";"94503,0";"60462,0";"1158";"507";"293";"37";
"Biatorbágy";"44,12";"14599,0";"9608,0";"147";"61";"30";" ";
"Budajenõ";"12,42";"2098,5";"1355,0";"23";"7";"4";" ";
"Budakeszi";"37,10";"14981,0";"9318,0";"191";"84";"44";"3";
"Budaörs";"23,59";"29068,5";"18240,0";"448";"214";"131";" ";
"Herceghalom";"7,34";"2822,0";"1905,0";"26";"9";"2";" ";
"Nagykovácsi";"27,67";"8441,5";"5347,0";"65";"27";"12";"1";
"Páty";"39,30";"7983,5";"5207,0";"88";"28";"17";"5";
"Perbál";"25,65";"2091,5";"1390,0";"36";"17";"12";"2";
"Remeteszõlõs";"2,89";"1011,0";"680,0";"11";"4";" ";" ";
"Telki";"10,47";"4414,0";"2821,0";"31";"14";"10";"1";
"Tök";"24,73";"1331,5";"903,0";"21";"8";"4";"3";
"Zsámbék";"33,66";"5661,0";"3688,0";"71";"34";"27";"22";
"Ceglédi járás";"886,36";"87759,5";"56845,0";"2516";"1528";"1016";"414";
"Abony";"127,97";"14208,0";"9112,0";"460";"279";"196";"82";
"Albertirsa";"73,00";"13173,0";"8703,0";"307";"188";"119";"19";
"Cegléd";"244,88";"35405,5";"22609,0";"1038";"632";"418";"114";
"Ceglédbercel";"28,15";"4243,5";"2740,0";"86";"46";"30";"22";
"Csemõ";"79,44";"4330,5";"2888,0";"166";"119";"83";"30";
"Dánszentmiklós";"38,00";"2726,0";"1841,0";"60";"34";"19";"5";
"Jászkarajenõ";"65,15";"2548,0";"1614,0";"98";"57";"35";"36";
"Kõröstetétlen";"32,65";"814,0";"542,0";"15";"4";"2";"7";
"Mikebuda";"42,17";"665,5";"468,0";"26";"14";"9";"5";
"Tápiószõlõs";"31,81";"2784,0";"1883,0";"66";"34";"23";"27";
"Törtel";"84,16";"4302,5";"2809,0";"142";"93";"65";"35";
"Újszilvás";"38,98";"2559,0";"1636,0";"52";"28";"17";"32";
"Dabasi járás";"614,06";"50263,0";"33506,0";"1739";"966";"435";"164";
"Bugyi";"115,37";"5158,0";"3502,0";"122";"66";"30";"14";
"Dabas";"165,99";"17454,0";"11421,0";"554";"291";"118";"69";
"Hernád";"27,06";"4115,0";"2815,0";"120";"62";"23";"2";
"Inárcs";"22,53";"4606,0";"3035,0";"124";"70";"37";"17";
"Kakucs";"21,79";"3081,5";"2079,0";"97";"58";"31";"4";
"Örkény";"36,44";"4951,5";"3307,0";"293";"175";"88";"25";
"Pusztavacs";"79,07";"1299,5";"878,0";"50";"27";"10";"5";
"Táborfalva";"42,05";"3372,5";"2370,0";"147";"84";"39";"5";
"Tatárszentgyörgy";"55,06";"1787,0";"1211,0";"140";"85";"42";"23";
"Újhartyán";"22,45";"2759,0";"1795,0";"70";"37";"11";" ";
"Újlengyel";"26,25";"1679,0";"1093,0";"22";"11";"6";" ";
"Dunakeszi járás";"105,28";"86774,5";"56533,0";"1101";"531";"236";"41";
"Csomád";"12,38";"1740,0";"1191,0";"24";"9";"3";" ";
"Dunakeszi";"31,06";"43926,5";"28495,0";"515";"248";"101";"16";
"Fót";"37,40";"20427,0";"13644,0";"293";"144";"64";"5";
"Göd";"24,44";"20681,0";"13203,0";"269";"130";"68";"20";
"Érdi járás";"184,30";"127892,0";"84115,0";"1399";"534";"259";"13";
"Diósd";"5,75";"11223,0";"7246,0";"95";"33";"13";"1";
"Érd";"63,31";"69747,0";"46027,0";"796";"308";"146";"9";
"Pusztazámor";"9,27";"1260,0";"893,0";"14";"6";"4";"1";
"Sóskút";"24,89";"3534,0";"2391,0";"42";"21";"12";" ";
"Százhalombatta";"28,06";"17704,0";"11588,0";"210";"78";"41";" ";
"Tárnok";"23,61";"10197,5";"7025,0";"126";"52";"32";"2";
